Pali_Word,Han_Word,Co_Occur,PMI,IDF,Score,Precision,Recall,F_Score
bhavito,修學極,7.0,14.0861,7.1253,100.3673,7.0,7.0,7.0
bhavito,修學,7.0,14.0861,7.1253,100.3673,7.0,7.0,7.0
pahiyissati,不息,6.0,13.8637,7.1253,98.7827,6.0,6.0,6.0
pahiyetha,息,5.0,13.6006,7.1253,96.9085,5.0,5.0,5.0
paricareyya,奉事,4.0,13.2787,7.1253,94.6146,4.0,4.0,4.0
paricareyya,梵志為,4.0,13.2787,7.1253,94.6146,4.0,4.0,4.0
anuppanno,念法,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
sunnamidam,行此,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
olambanti,懸烟屋,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
adhigantabbam,喜快,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
adhigantabbam,樂耶尼,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
adhigantabbam,得歡,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
sunnamidam,倒謂,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
sunnamidam,空不顛,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
thera,離者,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
pavaddhati,念法,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
pavaddhati,未生,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
upavicarati,更樂為,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
anuppanno,未生,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
rammakassa,梵志羅摩家,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
thera,亦樂住,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
thera,中下,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
thera,可稱,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
thera,尊師樂住,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
samparayika,有者,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
olambanti,妻子,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
ditthadhammika,有者,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
olambanti,奴婢,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
sucaritani,奴婢,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
sucaritani,妻子,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
assamo,梵志羅摩家,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
sucaritani,懸烟屋,3.0,12.8637,7.1253,91.6574,3.0,3.0,3.0
upaneti,相應業,10.0,12.6013,6.7198,84.6785,5.0,5.0,5.0
sanna,倒謂,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
pasamsa,可稱,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
pasamsa,亦樂住,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
pasamsa,中下,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
pasamsa,尊師樂住,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
vittharena,受現,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
vittharena,不欲染,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
sanna,空不顛,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
appekacce,鍮,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
manokammam,現觀,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
manokammam,意業,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
sanna,行此,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
manokammam,身口,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
manokammam,觀現,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
manokammam,即此,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
pasamsa,離者,3.0,11.8641,7.1253,84.5353,1.5,3.0,2.0
kareyya,身妙,4.0,11.6944,7.1253,83.3256,1.3333,4.0,2.0
kareyya,終趣,4.0,11.6944,7.1253,83.3256,1.3333,4.0,2.0
upaneti,威德,8.0,12.2794,6.7198,82.5153,4.0,4.0,4.0
purisapuggalassa,溺,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
upadiyim,提,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
upadiyamano,提,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
purisapuggalassa,沒,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
parinibbanaya,溺,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
parinibbanaya,沒,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
parinnam,正非,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
parinnam,不施,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
parinnam,受然,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
paccuppannesu,強耆,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
paricareyya,工師,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
samhirati,強耆,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
samhirati,覺想,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
datva,洹,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
paccuppannesu,覺想,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
paccuppannesu,著住,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
samhirati,著住,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
datva,含無量,4.0,12.2792,6.7198,82.5138,4.0,2.0,2.6667
ahosi,修學極,7.0,11.5019,7.1253,81.954,1.1667,7.0,2.0
ahosi,修學,7.0,11.5019,7.1253,81.954,1.1667,7.0,2.0
rathavinitam,車,7.0,12.0867,6.7198,81.2207,3.5,3.5,3.5
rathavinitam,車乘,7.0,12.0867,6.7198,81.2207,3.5,3.5,3.5
rathavinitam,車至,7.0,12.0867,6.7198,81.2207,3.5,3.5,3.5
danam,含無量,7.0,12.0867,6.7198,81.2207,3.5,3.5,3.5
danam,洹,7.0,12.0867,6.7198,81.2207,3.5,3.5,3.5
sukham,喜快,4.0,11.2794,7.1253,80.3688,1.0,4.0,1.6
sukham,樂耶尼,4.0,11.2794,7.1253,80.3688,1.0,4.0,1.6
sukham,得歡,4.0,11.2794,7.1253,80.3688,1.0,4.0,1.6
brahmanam,梵志為,4.0,11.2794,7.1253,80.3688,1.0,4.0,1.6
brahmanam,奉事,4.0,11.2794,7.1253,80.3688,1.0,4.0,1.6
uppanno,未生,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
attham,不欲染,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
attham,受現,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
brahmanassa,梵志羅摩家,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
kareyya,若身,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
nisidimsu,鍮,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
kareyya,報者,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
uppanno,念法,3.0,11.2793,7.1253,80.3683,1.0,3.0,1.5
balo,惡思,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
dakkhina,含無量,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
dakkhina,得福,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
danam,得福,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
dakkhina,千倍,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
danam,千倍,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
dakkhina,洹,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
balo,以愚,6.0,11.8644,6.7198,79.7263,3.0,3.0,3.0
upadiyim,法次,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
upadiyamano,法次,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
paricareyya,姓,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
deti,得福,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
sabbaya,使,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
assu,疲勞,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
sucaritani,己身,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
sucaritani,倒,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
parinibbanaya,為般,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
olambanti,惡行,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
olambanti,己身,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
veramani,沒,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
purisapuggalassa,為般,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
bhavito,觀定,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
veramani,溺,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
tedha,疲勞,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
pahatabbo,使,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patikankhitabba,洹,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
ahareti,或持,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
aharam,或持,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patipuggalika,得福,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
datva,千倍,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
daratha,疲勞,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
sunnamidam,盡無漏,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
datva,得福,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
deti,千倍,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
deti,含無量,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
sunnamidam,無為,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
deti,洹,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
parinnam,何彼沙門,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
parinnam,故彼,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patikankhitabba,得福,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
vedana,使,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
veramani,為般,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patikankhitabba,含無量,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patipuggalika,洹,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patikankhitabba,千倍,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patipuggalika,含無量,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
patipuggalika,千倍,3.0,11.8641,6.7198,79.7248,3.0,1.5,2.0
panna,受然,5.0,11.6013,6.7198,77.9587,2.5,2.5,2.5
panna,不施,5.0,11.6013,6.7198,77.9587,2.5,2.5,2.5
bhava,中下,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
itipi,止,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
bhava,亦樂住,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
itipi,堪,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
itipi,所用,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
bhava,可稱,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
bhava,離者,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
bhava,尊師樂住,3.0,10.8644,7.1253,77.4116,0.75,3.0,1.2
pahiyetha,門,5.0,12.0163,6.4321,77.2903,5.0,1.6667,2.5
kareyya,惡行,6.0,11.2795,6.7198,75.7959,2.0,3.0,2.4
yapeti,或持,4.0,11.2794,6.7198,75.7954,2.0,2.0,2.0
addassatha,伽,4.0,11.2794,6.7198,75.7954,2.0,2.0,2.0
addassatha,匿,4.0,11.2794,6.7198,75.7954,2.0,2.0,2.0
addassatha,那利鴦,4.0,11.2794,6.7198,75.7954,2.0,2.0,2.0
