MN_No,MA_No,N_True_Pairs,N_Soft_Pairs,N_Formulaic_Chunks,Divergence_Index,Dominant_Type,N_SEMANTIC_DRIFT,N_OMISSION,N_ADDITION,N_PARALLEL,N_UNCERTAIN,N_High_Div,Pct_High_Div,Has_Formulaic_Omission,Formulaic_Severity,Compression_Ratio,Mean_Emb_Sim,Mean_Lex,Mean_Missing_Term,Mean_Len_Asym,Top_Missing_Terms
43,211,51,2,0,0.8601,OMISSION,5,48,0,0,0,52,98.1,False,NONE,0.0,0.2507,0.0093,0.939,2.842,avuso|dhamma|panavuso|tasma|vuccati
85,204,0,88,68,0.8393,OMISSION,18,68,0,0,2,80,90.9,True,HEAVY,8.76,0.2326,0.0113,0.8895,2.706,rajakumara|tassa|aham|bhikkhu|bhagava
26,204,0,66,44,0.8294,OMISSION,14,52,0,0,0,62,93.9,True,HEAVY,5.47,0.2446,0.0386,0.9122,2.482,aham|tassa|bhikkhu|sayam|avuso
87,216,16,21,0,0.8215,OMISSION,5,29,0,0,3,32,86.5,False,NONE,0.0,0.2234,0.009,0.895,2.917,maharaja|bhagavata|bhasitam|mannasi|gahapati
56,133,97,4,0,0.8169,OMISSION,18,80,0,2,1,89,88.1,False,NONE,0.0,0.2563,0.0139,0.8609,2.615,bhante|gahapati|etadavoca|bhagava|yena
50,131,42,0,0,0.8114,OMISSION,10,28,0,0,4,33,78.6,False,NONE,0.0,0.2715,0.017,0.8463,2.497,papima|bhikkhu|ayasma|tumhe|cetasa
61,14,24,20,0,0.8099,OMISSION,2,40,0,0,2,36,81.8,False,NONE,0.0,0.3054,0.0341,0.8901,2.621,aham|tvam|sace|paccavekkhamano|evarupam
82,132,87,20,0,0.8047,OMISSION,31,68,0,0,8,87,81.3,False,NONE,0.0,0.235,0.01,0.8397,2.273,agarasma|anagariyam|tena|bhagavata|upasankamitva
124,34,16,0,0,0.8014,OMISSION,1,15,0,0,0,10,62.5,False,NONE,0.0,0.229,0.0048,0.6951,2.593,avuso|mayam|ayasma|upasankamitva|imehi
39,182,1,26,45,0.794,FORMULAIC_OMISSION,8,18,0,1,0,21,77.8,True,EXTREME,55.32,0.3264,0.025,0.8958,2.501,uttarim|parisuddho|evanhi|sikkhitabbam|siya
97,27,37,45,0,0.7885,OMISSION,24,53,0,0,5,69,84.1,False,NONE,0.0,0.2946,0.0045,0.8933,2.207,dhananjani|sariputta|hetu|assa|mannasi
93,151,44,20,0,0.7875,OMISSION,17,40,0,0,7,49,76.6,False,NONE,0.0,0.2573,0.0095,0.8005,2.098,gotamo|gotama|brahmana|manavo|hoti
75,153,52,27,0,0.7864,OMISSION,18,55,0,0,6,63,79.7,False,NONE,0.0,0.2742,0.0178,0.8419,2.233,tassa|puriso|gotama|samano|gotamo
21,193,33,34,0,0.7812,OMISSION,18,43,0,0,6,52,77.6,False,NONE,0.0,0.2664,0.0508,0.8245,2.067,bhikkhu|bhante|ceva|puriso|tvam
90,212,49,2,0,0.7773,OMISSION,9,37,0,1,4,42,82.4,False,NONE,0.0,0.2816,0.0244,0.8053,2.368,bhante|maharaja|bhagavantam|raja|bhagava
17,108,0,14,0,0.7769,SEMANTIC_DRIFT,5,5,0,0,4,8,57.1,False,NONE,0.0,0.1732,0.0635,0.7344,1.673,upanissaya|ceva|cittam|asava|imam
77,207,5,98,18,0.7738,OMISSION,26,64,0,0,13,73,70.9,True,EXTREME,18.39,0.27,0.0169,0.8188,2.217,savaka|udayi|puna|caparam|maya
88,214,35,2,0,0.7729,OMISSION,9,27,0,0,1,26,70.3,False,NONE,0.0,0.3053,0.0741,0.8545,2.482,bhante|anando|maharaja|ayasma|katamo
99,152,61,15,0,0.7718,OMISSION,25,42,0,0,9,55,72.4,False,NONE,0.0,0.2837,0.0119,0.8093,2.114,hoti|brahmana|gotama|brahmano|dhamme
44,210,41,4,0,0.771,OMISSION,5,38,0,1,1,34,75.6,False,NONE,0.0,0.3466,0.0441,0.8393,2.851,avuso|hoti|katamo|bhagavata|ayam
107,144,28,5,0,0.7709,OMISSION,9,21,0,0,3,25,75.8,False,NONE,0.0,0.3232,0.04,0.8354,2.169,brahmana|tvam|bhikkhu|tathagato|viharati
91,161,70,12,0,0.7707,OMISSION,30,46,0,3,3,60,73.2,False,NONE,0.0,0.3094,0.0289,0.8547,2.007,gotamo|brahmano|bhagava|hoti|yena
135,170,38,8,0,0.7707,OMISSION,17,24,0,0,5,33,71.7,False,NONE,0.0,0.2469,0.014,0.819,1.958,hoti|kayassa|param|tena|idha
140,162,27,37,0,0.7701,OMISSION,24,37,0,1,2,44,68.8,False,NONE,0.0,0.3292,0.0617,0.8691,2.125,bhikkhu|paticca|ayam|pajanati|bhagava
25,178,2,34,38,0.7669,FORMULAIC_OMISSION,7,17,0,0,12,23,63.9,True,EXTREME,15.42,0.205,0.0102,0.622,1.807,nivuttam|iddhanubhava|bhojanani|evanhi|parimuccimsu
127,79,35,15,0,0.7664,OMISSION,18,28,0,1,3,38,76.0,False,NONE,0.0,0.2701,0.0072,0.8481,1.726,pharitva|viharati|bhikkhu|gahapati|bhante
10,98,0,52,79,0.7662,FORMULAIC_OMISSION,23,25,0,1,3,36,69.2,True,EXTREME,14.65,0.3054,0.0413,0.8375,1.725,viharati|uppajjati|hoti|pajanati|bhikkhu
31,185,19,33,0,0.7651,OMISSION,20,27,0,0,5,32,61.5,False,NONE,0.0,0.2639,0.0159,0.7706,1.679,bhante|mayam|idha|bhagava|ayasma
132,167,15,0,0,0.7649,OMISSION,0,14,0,0,1,10,66.7,False,NONE,0.0,0.3053,0.0959,0.7859,3.358,kathanca|avuso|bhagava|tattha|paccuppannesu
19,102,2,23,19,0.7637,FORMULAIC_OMISSION,10,11,0,1,3,16,64.0,True,EXTREME,10.52,0.2741,0.0418,0.8081,1.426,ayam|bhikkhu|cittam|uppanno|aham
128,72,61,8,0,0.7632,OMISSION,27,33,0,4,5,53,76.8,False,NONE,0.0,0.2547,0.01,0.8438,1.732,tassa|anuruddha|aham|bhante|samadhi
133,165,25,23,0,0.7626,OMISSION,15,28,0,0,5,34,70.8,False,NONE,0.0,0.2802,0.0395,0.8325,2.137,avuso|bhagava|bhikkhu|attham|bhante
13,99,14,44,0,0.7618,OMISSION,10,37,0,0,11,41,70.7,False,NONE,0.0,0.2785,0.0251,0.7769,2.219,ayampi|hetu|bhante|puna|caparam
89,213,36,16,0,0.761,OMISSION,21,29,0,1,1,36,69.2,False,NONE,0.0,0.3093,0.0643,0.8511,1.933,bhante|bhagava|hoti|bhikkhu|bhagavato
112,187,26,23,0,0.7603,SEMANTIC_DRIFT,25,19,0,1,4,37,75.5,False,NONE,0.0,0.3283,0.0399,0.8718,1.783,avuso|ahosim|cittam|tassa|pahaya
38,201,67,40,0,0.7563,OMISSION,16,77,0,7,7,82,76.6,False,NONE,0.0,0.2914,0.0617,0.816,2.733,bhante|hoti|vuttam|katham|ettha
129,199,50,48,0,0.7537,OMISSION,22,61,0,0,15,70,71.4,False,NONE,0.0,0.3055,0.0372,0.8001,2.153,hoti|ranno|balo|puna|caparam
66,192,30,35,0,0.7537,OMISSION,28,34,0,2,1,41,63.1,False,NONE,0.0,0.2952,0.0337,0.7995,1.681,bhikkhu|tassa|udayi|aham|viharati
119,98,0,39,31,0.7504,FORMULAIC_OMISSION,18,17,0,0,4,25,64.1,True,HEAVY,5.81,0.3042,0.0683,0.8167,1.437,bhikkhu|hoti|tassa|seyyathapi|puna
49,78,28,15,0,0.75,SEMANTIC_DRIFT,20,18,0,0,5,24,55.8,False,NONE,0.0,0.3009,0.0183,0.7914,1.75,bhikkhu|aham|tvam|taya|sace
52,217,8,20,0,0.749,OMISSION,7,16,0,1,4,17,60.7,False,NONE,0.0,0.2975,0.0347,0.7874,1.982,gahapati|bhikkhu|tena|kinci|pajanati
28,30,3,48,6,0.7488,SEMANTIC_DRIFT,24,20,0,1,6,35,68.6,True,EXTREME,54.41,0.2658,0.0325,0.8236,1.396,avuso|hoti|tassa|bahira|upekkha
96,150,24,25,0,0.7477,SEMANTIC_DRIFT,22,21,0,0,6,32,65.3,False,NONE,0.0,0.3119,0.0055,0.832,1.472,brahmana|hoti|gotama|cepi|pativirato
125,198,31,28,0,0.7475,OMISSION,14,34,0,1,10,40,67.8,False,NONE,0.0,0.2772,0.011,0.7687,2.086,bhikkhu|tvam|hoti|samma|tamenam
32,184,34,29,0,0.7471,OMISSION,24,31,0,1,7,39,61.9,False,NONE,0.0,0.3028,0.0429,0.7955,1.733,avuso|sariputta|ayasma|etadavoca|bhikkhu
130,64,34,25,0,0.7461,OMISSION,17,25,0,1,16,38,64.4,False,NONE,0.0,0.2624,0.0107,0.7428,1.78,tassa|tamenam|ambho|purisa|evamaha
22,200,42,64,0,0.7454,OMISSION,33,60,0,2,11,71,67.0,False,NONE,0.0,0.3069,0.0603,0.7959,2.06,bhikkhu|bhante|bhagava|dhamma|idha
27,146,33,32,0,0.7428,OMISSION,23,33,0,2,7,44,67.7,False,NONE,0.0,0.3132,0.029,0.8289,1.937,hoti|brahmana|bhagava|bhagavata|pahaya
